MWM International Indústria de Motores da América do Sul Ltda;2005-05-05;1;5617;5000; 355800; 5.93;;85243;96379;88736
Armco do Brasil SA;2005-07-08;2;20001;20001; 2486524; 5.18;;236379;240886;199210
Brascan Century Plaza;2005-07-01;2;4631;5001; 1423484; 5.93; 5.93;68872;69690;62892
Condomínio SP Market/Condomínio Shopping Center Fiesta;2005-07-31;1;10001;10001; 667267; 5.56;;144022;157936;146033
Embratel - Empresa Brasileira de Telecomunicações SA;2005-11-29;1;5697;5000; 371400; 6.19;;81955;87201;85103
Companhia Metalúrgica Prada;2005-12-20;1;3500;5000; 387600; 6.46;;43618;39904;33759
Siemens Ltda;2006-05-08;4;2257;5000; 1550400; 6.46;;30491;30138;24365
Carrefour Comercio e Indústria Ltda;2006-12-18;1;59575;40001; 2457661; 5.12;;943344;934129;989787
Associação Nóbrega de Educação e Assistência Social - Colégio São Luís;2006-12-20;1;5600;5600; 4605937; 6.89;;92525;75240;68026
Grupo SEB do Brasil Produtos Domésticos Ltda;2007-03-27;1;3110;5000; 413400; 6.89;;31333;49015;46278
Hospital e Maternidade Santa Joana SA;2007-05-30;5;10001;10001; 3882388; 6.47;;152165;151951;146520
Diagnósticos da América SA;2007-05-31;5;4899;5000; 2067000; 6.89;;72280;70191;75171
Associação Cristã de Moços de São Paulo;2007-06-13;1;7909;10001; 756076; 6.30;;124768;121751;103212
Petróleo Brasileiro S/A - Petrobras;2013-03-01;1;1001;1001; 394568; 5.65; 3.30;;17445;36334
Condomínio do Shopping Center Morumbi;2007-05-30;5;17075;15800; 6133560; 6.47;;238813;254728;281221
Academia Paulista Anchieta S/C Ltda;2007-09-27;1;5781;5400; 463320; 7.15; 7.15;66955;84993;56826
Libbs Farmacêutica Ltda;2007-08-23;1;6398;; 858000; 7.15; 7.15;;;
Condeshop - Consórcio de Desenvolvimento de Shopping Centers;2007-09-26;1;4000;3000; 514800; 7.15;;21664;61397;61789
Ford Motor Company Brasil Ltda;2007-05-31;2;10000;15000; 1339200; 3.72;;185613;147365;116599
Condomínio Edifício Convention Corporate Plaza - Torre C Comercial State;2007-11-22;1;5000;5000; 858000; 7.15; 7.15;80428;73638;55363
Meliá Brasil Administração Hoteleira e Comercial Ltda;2008-02-19;1;11713;10001; 805281; 6.71;;198699;207044;210560
São Paulo Turismo SA;2008-02-29;1;10001;10001; 805281; 6.71;;140529;139522;116063
Wal Mart Brasil Ltda;2008-03-11;1;13095;5195; 393989; 6.32;;194464;179749;160210
Empresa Metropolitana de Transportes Urbanos de São Paulo SA;2008-03-26;1;2935;3366; 288399; 7.14;;43531;45827;44750
Sonda Supermercados Exportação e Importação Ltda;2008-03-26;1;19362;13536; 1088294; 6.70;;287969;280792;274500
São Paulo Futebol Clube;2008-03-14;1;4000;4000; 41280; 7.15;;83637;87240;80228
