uf;cargo;porcentagem_qtd_feminino;porcentagem_despesas_feminino;porcentagem_qtd_feminino_eleito;porcentagem_despesas_feminino_eleito
AC;PREFEITO;0.164556962025316;0.237070786092854;0.0909090909090909;0.0780182687768332
AC;TOTAL;0.31991341991342;0.24422039346546;0.135531135531136;0.116480494007532
AC;VEREADOR;0.330232558139535;0.248660965845981;0.135371179039301;0.161030865939758
AL;PREFEITO;0.196825396825397;0.126366379179907;0.205882352941176;0.155135178161386
AL;TOTAL;0.317931793179318;0.170352064793436;0.153125;0.157204066368357
AL;VEREADOR;0.331574981160512;0.237719101479662;0.147769516728625;0.160129756280924
AM;PREFEITO;0.12015503875969;0.0458310647014165;0.0806451612903226;0.0243235460324997
AM;TOTAL;0.313944973323569;0.10642149856308;0.124113475177305;0.055798262358468
AM;VEREADOR;0.324246453900709;0.207283481047865;0.131578947368421;0.111777153605827
AP;PREFEITO;0.2375;0.232644152478019;0.1875;0.0983064513781857
AP;TOTAL;0.332804232804233;0.237560568329915;0.183168316831683;0.128497316176064
AP;VEREADOR;0.338150289017341;0.246693962538399;0.182352941176471;0.165058117600998
BA;PREFEITO;0.149038461538462;0.144036420388141;0.13317191283293;0.110306500275619
BA;TOTAL;0.318092909535452;0.168546167990699;0.124907475943745;0.115610643840929
BA;VEREADOR;0.32960779736197;0.199691965736992;0.122105723023154;0.12483787806793
BRASIL;PREFEITO;0.129396309786827;0.107709503951796;0.115662215806568;0.0907342641804053
BRASIL;TOTAL;0.323836441571101;0.153450067172599;0.133557375238636;0.108604173947332
BRASIL;VEREADOR;0.330863771243593;0.20892361992578;0.135272048271927;0.134359229903988
CE;PREFEITO;0.151340996168582;0.0866377895914459;0.141304347826087;0.0735678514957724
CE;TOTAL;0.316195200429012;0.130156681266443;0.165880503144654;0.102015528977742
CE;VEREADOR;0.32569735510912;0.209820619972245;0.1640625;0.153399399883246
ES;PREFEITO;0.0716845878136201;0.0599034446074462;0.051948051948052;0.044023841354773
ES;TOTAL;0.314850162244703;0.116721988666291;0.0891089108910891;0.0631325326228784
ES;VEREADOR;0.326464646464646;0.183036719872419;0.0922897196261682;0.0918533767093788
GO;PREFEITO;0.121985815602837;0.0928532595827441;0.142857142857143;0.0896029570027681
GO;TOTAL;0.320773355913068;0.15237449461858;0.126544240400668;0.106850391428125
GO;VEREADOR;0.33380388202672;0.232655611969598;0.12609736632083;0.138134734532312
MA;PREFEITO;0.216216216216216;0.208335410590413;0.189814814814815;0.1624936146022
MA;TOTAL;0.323905651211745;0.220527276298017;0.179569892473118;0.169386724021475
MA;VEREADOR;0.332573499327839;0.236792886248514;0.175572519083969;0.181449005078833
MG;PREFEITO;0.0913520097442144;0.0671837687413726;0.0738569753810082;0.0647572841976383
MG;TOTAL;0.31768517342142;0.120501959250051;0.104937665652302;0.0819781355312094
MG;VEREADOR;0.331719358207538;0.199137272545494;0.108595684471171;0.112139398611931
MS;PREFEITO;0.107296137339056;0.299246539486548;0.0886075949367089;0.0899140169925587
MS;TOTAL;0.320752164502164;0.267721283612845;0.13160518444666;0.0919173746365965
MS;VEREADOR;0.33106936416185;0.232867771494173;0.131360946745562;0.0943677222214684
MT;PREFEITO;0.134020618556701;0.0892503848716118;0.113475177304965;0.112741644799765
MT;TOTAL;0.321960595867371;0.146969918072602;0.135231316725979;0.106781913142915
MT;VEREADOR;0.335481188942008;0.222271029537173;0.134615384615385;0.0960610713169092
PA;PREFEITO;0.15426497277677;0.126081725053694;0.145833333333333;0.110281107288026
PA;TOTAL;0.320510332783545;0.174089349563511;0.13946587537092;0.122512590885719
PA;VEREADOR;0.328033644476357;0.223443781497334;0.13840830449827;0.138273453887141
