1;Bengali;270000000;Indo-europeia;Escrita bengali
2;Português;250000000;Indo-europeia;Alfabeto latino
3;Mandarim;885000000;Sino-tibetana;Alfabeto chinês
4;Espanhol;406000000;Indo-europeia;Alfabeto latino
5;Francês;115000000;Indo-europeia;Alfabeto latino
6;Coreano;78000000;Altaica;Alfabeto hangul
7;Árabe;206000000;Afro-asiática;Alfabeto árabe
8;Inglês;400000000;Indo-europeia;Alfabeto latino
9;Hindi;322000000;Indo-europeia;Alfabeto devanágari
10;Indonésio;200000000;Línguas austronésias;Alfabeto latino
11;Persa;110000000;Indo-europeia;Alfabeto persa
12;Curdo;39500000;Indo-europeia;Alfabeto árabe, Alfabeto latino, Alfabeto cirílico
13;Japonês;125000000;Altaica;Kanji, Hiragana, Katakana
14;Urdu;61000000;Indo-europeia;Alfabeto urdu
15;Russo;164000000;Indo-europeia;Alfabeto cirílico
16;Tailandês;65000000;Tai-Kadai;Alfabeto Tai
17;Turco;70000000;Altaica;Alfabeto latino
18;Vietnamita;73000000;Austro-asiática;Alfabeto vietnamita
