Bangladesh;154786561;Bengali
Brasil;203701100;Português
China;1354040000;Mandarim
Colômbia;45745783;Espanhol
Congo;75507308;Francês
Coréia do Sul;48955203;Coreano
Egito;85294388;Árabe
Estados Unidos;316438601;Inglês
Índia;1220800359;"Hindi, Inglês"
Indonésia;251160124;Indonésio
Irã;79853900;Persa
Iraque;31858481;"Árabe, Curdo"
Japão;127253075;Japonês
México;118818228;Espanhol
Nigéria;168835645;Inglês
Paquistão;179253789;"Urdu, Inglês"
Reino Unido;63395574;Inglês
Rússia;143666931;Russo
Tailândia;67497151;Tailandês
Turquia;80694485;Turco
Vietnã;92477857;Vietnamita
