uf; sequencial_candidato; nome; sigla_partido
"AC";"10000000661";"BISPO JOSÉ";"PSC"
"AC";"10000000340";"JOSÉ ALDENI";"PV"
"AC";"10000000357";"LUANA LEAL";"PMN"
"AC";"10000000402";"ANTONIO PEDRO";"DEM"
"AC";"10000000367";"PROFESSORA TEREZINHA";"DEM"
"AC";"10000000379";"BARTO JUNIOR";"DEM"
"AC";"10000000392";"CONSUELO";"DEM"
"AC";"10000000394";"MARIZETE SILVA";"PV"
"AC";"10000000293";"SEBASTIÃO CRUZ";"PP"
"AC";"10000000114";"TARCISIO PINHEIRO";"PRP"
"AC";"10000000115";"ALDAYSA SAMPAIO";"PRP"
"AC";"10000000359";"RAIMUNDO NENEM";"PMN"
"AC";"10000000183";"JONAS LIMA";"PT"
"AC";"10000000146";"ANTONIO ROCHA";"PSOL"
"AC";"10000000151";"HUDSON DA ROCHA";"PSOL"
"AC";"10000000165";"MARILEIDE SERAFIM";"PSL"
"AC";"10000000186";"SIDNEY VENCEDOR";"PT"
"AC";"10000000190";"GERMANO MARINO";"PT"
"AC";"10000000196";"JACIARA";"PT"
"AC";"10000000199";"JOTA GUIMARÃES";"PT"
"AC";"10000000200";"ANNE CAROLINE";"PT"
"AC";"10000000212";"PASTOR MARCOS FABRICIO";"PROS"
"AC";"10000000216";"TAYNAN";"PT"
"AC";"10000000061";"PEDRO OLIVEIRA";"PSD"
"AC";"10000000062";"JAFFESSON RODRIGUES";"PSD"
"AC";"10000000065";"MARIA JOSÉ";"PSD"
"AC";"10000000067";"ZEQUINHA";"PSD"
"AC";"10000000075";"MARILETE VITORINO";"PSD"
"AC";"10000000083";"ERICK ROCHA";"PRP"
"AC";"10000000097";"KIM";"PRP"
"AC";"10000000476";"CARLOS NOGUEIRA";"PR"
"AC";"10000000022";"ZENILDO VIEIRA";"PDT"
"AC";"10000000030";"LUZIA MONTEIRO";"PDT"
"AC";"10000000040";"PROF. JÓ PAULINO";"PDT"
"AC";"10000000047";"DR. JECSON DUTRA";"PDT"
"AC";"10000000050";"CAPITÃO ALBERTO";"PDT"
"AC";"10000000053";"JESUS SERGIO";"PDT"
"AC";"10000000241";"WALTER DAMASCENO";"PHS"
"AC";"10000000278";"MARILIA CHAVES";"PTN"
"AC";"10000000298";"LEIDINILSON MOURA";"PP"
"AC";"10000000461";"JUNIOR BOCA CHEIA";"PSB"
"AC";"10000000477";"CIRIO CESAR";"PR"
"AC";"10000000481";"HERALDO BEZERRA";"PR"
"AC";"10000000485";"PASTORA DORA";"PR"
"AC";"10000000502";"NENO";"PPS"
"AC";"10000000511";"JESSER DO VALE";"PPS"
"AC";"10000000518";"ANA CLÁUDIA";"PPS"
"AC";"10000000522";"EMILSON BRASIL";"SD"
"AC";"10000000106";"MARCOS DO ESPERANÇA";"PRP"
"AC";"10000000534";"SERJAO";"PMDB"
"AC";"10000000540";"CARLOS GADELHA";"PMDB"
"AC";"10000000550";"PROF. LAURO FONTES";"PSC"
"AC";"10000000564";"JANILDO REIS";"PSDB"
"AC";"10000000580";"PROFª NORMA";"PSDB"
"AC";"10000000581";"GILSON AMORIM";"PSDB"
"AC";"10000000595";"MARINETE";"PT do B"
"AC";"10000000601";"CEARÁ DA CARNE DE SOL";"PSC"
"AC";"10000000093";"PITEL BRITO";"PRP"
"AC";"10000000762";"LEUDA DO NILSON";"PSL"
"AC";"10000000242";"STEVÃO BRASIL";"PHS"
"AC";"10000000330";"VALENTIN";"PV"
"AC";"10000000032";"DORA";"PDT"
"AC";"10000000178";"TCHÊ";"PDT"
"AC";"10000000078";"SILVONETE";"PSD"
"AC";"10000000268";"DAVLSON OLIVEIRA";"PTN"
"AC";"10000000279";"MARISELVA PEREIRA";"PTN"
"AC";"10000000161";"IDESIO";"PT"
"AC";"10000000381";"SARGENTO JARDIM";"DEM"
"AC";"10000000116";"ROSILENE NASCIMENTO";"PRP"
"AC";"10000000408";"EBER MACHADO";"PSDC"
"AC";"10000000412";"WELINTON BISSAT";"PSDC"
"AC";"10000000415";"RAFAEL ALMEIDA";"PSDC"
"AC";"10000000417";"LIDIANE CARVALHO";"PSDC"
"AC";"10000000430";"ZEMAR";"PSDC"
