nome-emendador;uf-candidato;id-candidato;nome-candidato;partido-candidato
Alberto Fraga;"DF";"70000000676";"FRAGA";"DEM"
Alceu Moreira;"RS";"210000000162";"ALCEU MOREIRA";"PMDB"
Alessandro Molon;"RJ";"190000000614";"ALESSANDRO MOLON";"PT"
Alfredo Kaefer;"PR";"160000000152";"ALFREDO KAEFER";"PSDB"
André Figueiredo;"CE";"60000000773";"ANDRÉ FIGUEIREDO";"PDT"
Antonio Bulhões;"SP";"250000001259";"ANTONIO BULHÕES";"PRB"
Arnaldo Jordy;"PA";"140000000934";"JORDY";"PPS"
Assis Melo;"RS";"210000000873";"ASSIS MELO";"PC do B"
Átila Lira;"PI";"180000000061";"ATILA LIRA";"PSB"
Augusto Coutinho;"PE";"170000000042";"AUGUSTO COUTINHO";"SD"
Aureo;"RJ";"190000000390";"AUREO";"SD"
Benedita da Silva;"RJ";"190000000624";"BENEDITA DA SILVA";"PT"
Benjamin Maranhão;"PB";"150000000476";"BENJAMIN MARANHÃO";"SD"
Carlos Melles;"MG";"130000000691";"CARLOS MELLES";"DEM"
Carlos Zarattini;"SP";"250000000618";"ZARATTINI";"PT"
Carmen Zanotto;"SC";"240000000475";"CARMEN ZANOTTO";"PPS"
Célio Silveira;"GO";"90000000743";"CÉLIO SILVEIRA";"PSDB"
Celso Maldaner;"SC";"240000000234";"CELSO MALDANER";"PMDB"
Chico Alencar;"RJ";"190000000414";"CHICO ALENCAR";"PSOL"
Chico Lopes;"CE";"60000000785";"CHICO LOPES";"PC do B"
Christiane de Souza Yared;"PR";"160000000761";"CHRISTIANE YARED";"PTN"
Cleber Verde;"MA";"100000000571";"CLEBER VERDE";"PRB"
Covatti Filho;"RS";"210000000638";"COVATTI FILHO";"PP"
Daniel Almeida;"BA";"50000000135";"DANIEL ALMEIDA";"PC do B"
Daniel Vilela;"GO";"90000000615";"DANIEL VILELA";"PMDB"
Danilo Cabral;"PE";"170000000031";"DANILO CABRAL";"PSB"
Darcísio Perondi;"RS";"210000000164";"PERONDI";"PMDB"
Diego Andrade;"MG";"130000000716";"DIEGO ANDRADE";"PSD"
Diego Garcia;"PR";"160000001136";"DIEGO GARCIA";"PHS"
Domingos Sávio;"MG";"130000000650";"DOMINGOS SÁVIO";"PSDB"
Eli Corrêa Filho;"SP";"250000001388";"ELI CORRÊA FILHO";"DEM"
Elizeu Dionizio;"MS";"120000000051";"ELIZEU DIONIZIO";"SD"
Evair Vieira de Melo;"ES";"80000000169";"EVAIR DE MELO";"PV"
Evandro Roman;"PR";"160000000187";"EVANDRO ROMAN";"PSD"
Fernando Monteiro;"PE";"170000000069";"FERNANDO MONTEIRO";"PP"
Glauber Braga;"RJ";"190000000663";"GLAUBER";"PSB"
Gorete Pereira;"CE";"60000000586";"GORETE PEREIRA";"PR"
Goulart;"SP";"250000002182";"GOULART";"PSD"
Heitor Schuch;"RS";"210000000575";"HEITOR SCHUCH";"PSB"
Herculano Passos;"SP";"250000002189";"HERCULANO PASSOS";"PSD"
Hissa Abrahão;"AM";"40000000086";"HISSA ABRAHÃO";"PPS"
