Emenda;Autor
EMC 1/2017 PL678716 => PL 6787/2016;Laura Carneiro
EMC 2/2017 PL678716 => PL 6787/2016;Laura Carneiro
EMC 3/2017 PL678716 => PL 6787/2016;Laura Carneiro
EMC 4/2017 PL678716 => PL 6787/2016;Laura Carneiro
EMC 5/2017 PL678716 => PL 6787/2016;Laura Carneiro
EMC 6/2017 PL678716 => PL 6787/2016;Laura Carneiro
EMC 7/2017 PL678716 => PL 6787/2016;Laura Carneiro
EMC 8/2017 PL678716 => PL 6787/2016;Laura Carneiro
EMC 9/2017 PL678716 => PL 6787/2016;Laura Carneiro
EMC 10/2017 PL678716 => PL 6787/2016;Darcísio Perondi
EMC 11/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 12/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 13/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 14/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 15/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 16/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 17/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 18/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 19/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 20/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 21/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 22/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 23/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 24/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 25/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 26/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 27/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 28/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 29/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 30/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 31/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 32/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 33/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 34/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 35/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 36/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 37/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 38/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 39/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 40/2017 PL678716 => PL 6787/2016;Gorete Pereira
EMC 41/2017 PL678716 => PL 6787/2016;Gorete Pereira
