 1 º; São Caetano do Sul (SP); 0,862; 0,891; 0,887; 0,811
 2 º; Águas de São Pedro (SP); 0,854; 0,849; 0,890; 0,825
 3 º; Florianópolis (SC); 0,847; 0,870; 0,873; 0,800
 4 º; Balneário Camboriú (SC); 0,845; 0,854; 0,894; 0,789
 4 º; Vitória (ES); 0,845; 0,876; 0,855; 0,805
 6 º; Santos (SP); 0,840; 0,861; 0,852; 0,807
 7 º; Niterói (RJ); 0,837; 0,887; 0,854; 0,773
 8 º; Joaçaba (SC); 0,827; 0,823; 0,891; 0,771
 9 º; Brasília (DF); 0,824; 0,863; 0,873; 0,742
 10 º; Curitiba (PR); 0,823; 0,850; 0,855; 0,768
 11 º; Jundiaí (SP); 0,822; 0,834; 0,866; 0,768
 12 º; Valinhos (SP); 0,819; 0,848; 0,850; 0,763
 13 º; Vinhedo (SP); 0,817; 0,840; 0,878; 0,739
 14 º; Santo André (SP); 0,815; 0,819; 0,861; 0,769
 14 º; Araraquara (SP); 0,815; 0,788; 0,877; 0,782
 16 º; Santana de Parnaíba (SP); 0,814; 0,876; 0,849; 0,725
 17 º; Nova Lima (MG); 0,813; 0,864; 0,885; 0,704
 18 º; Ilha Solteira (SP); 0,812; 0,786; 0,871; 0,782
 19 º; Americana (SP); 0,811; 0,800; 0,876; 0,760
 20 º; Belo Horizonte (MG); 0,810; 0,841; 0,856; 0,737
 21 º; São José (SC); 0,809; 0,799; 0,880; 0,752
 21 º; Joinville (SC); 0,809; 0,795; 0,889; 0,749
 23 º; Maringá (PR); 0,808; 0,806; 0,852; 0,768
 24 º; São José dos Campos (SP); 0,807; 0,804; 0,855; 0,764
 25 º; Blumenau (SC); 0,806; 0,812; 0,894; 0,722
 25 º; Presidente Prudente (SP); 0,806; 0,788; 0,858; 0,774
 25 º; Rio Fortuna (SC); 0,806; 0,848; 0,850; 0,727
 28 º; São Paulo (SP); 0,805; 0,843; 0,855; 0,725
 28 º; Assis (SP); 0,805; 0,771; 0,865; 0,781
 28 º; Campinas (SP); 0,805; 0,829; 0,860; 0,731
 28 º; São Bernardo do Campo (SP); 0,805; 0,807; 0,861; 0,752
 28 º; Porto Alegre (RS); 0,805; 0,867; 0,857; 0,702
 28 º; São Carlos (SP); 0,805; 0,788; 0,863; 0,766
 34 º; Rio Claro (SP); 0,803; 0,784; 0,862; 0,766
 34 º; Jaraguá do Sul (SC); 0,803; 0,793; 0,865; 0,755
 36 º; Rio do Sul (SC); 0,802; 0,793; 0,894; 0,727
 37 º; Bauru (SP); 0,801; 0,800; 0,854; 0,752
 37 º; São Miguel do Oeste (SC); 0,801; 0,787; 0,884; 0,739
 37 º; Pirassununga (SP); 0,801; 0,789; 0,884; 0,736
 40 º; Concórdia (SC); 0,800; 0,777; 0,872; 0,756
 40 º; Vila Velha (ES); 0,800; 0,807; 0,864; 0,734
 40 º; Taubaté (SP); 0,800; 0,778; 0,883; 0,746
 40 º; Ribeirão Preto (SP); 0,800; 0,820; 0,844; 0,739
 40 º; Botucatu (SP); 0,800; 0,790; 0,869; 0,746
 45 º; Goiânia (GO); 0,799; 0,824; 0,838; 0,739
 45 º; Rio de Janeiro (RJ); 0,799; 0,840; 0,845; 0,719
 47 º; Marília (SP); 0,798; 0,768; 0,854; 0,776
 47 º; Sorocaba (SP); 0,798; 0,792; 0,843; 0,762
 47 º; Guaratinguetá (SP); 0,798; 0,764; 0,886; 0,751
 50 º; São João da Boa Vista (SP); 0,797; 0,776; 0,871; 0,749
 50 º; São José do Rio Preto (SP); 0,797; 0,801; 0,846; 0,748
 50 º; Fernandópolis (SP); 0,797; 0,767; 0,872; 0,758
 53 º; Itapema (SC); 0,796; 0,788; 0,881; 0,727
 53 º; Tubarão (SC); 0,796; 0,788; 0,866; 0,740
 53 º; Carlos Barbosa (RS); 0,796; 0,835; 0,835; 0,724
 56 º; Brusque (SC); 0,795; 0,794; 0,894; 0,707
 56 º; Iomerê (SC); 0,795; 0,754; 0,891; 0,749
 56 º; Paulínia (SP); 0,795; 0,800; 0,864; 0,727
 56 º; Treze Tílias (SC); 0,795; 0,838; 0,874; 0,685
 56 º; Itajaí (SC); 0,795; 0,778; 0,884; 0,730
 61 º; Holambra (SP); 0,793; 0,815; 0,878; 0,698
 62 º; Quatro Pontes (PR); 0,791; 0,790; 0,838; 0,748
 62 º; Três Arroios (RS); 0,791; 0,843; 0,851; 0,689
