 1 º; São Caetano do Sul (SP); 0,862; 0,891; 0,887; 0,811
 2 º; Águas de São Pedro (SP); 0,854; 0,849; 0,890; 0,825
 6 º; Santos (SP); 0,840; 0,861; 0,852; 0,807
 11 º; Jundiaí (SP); 0,822; 0,834; 0,866; 0,768
 12 º; Valinhos (SP); 0,819; 0,848; 0,850; 0,763
 13 º; Vinhedo (SP); 0,817; 0,840; 0,878; 0,739
 14 º; Santo André (SP); 0,815; 0,819; 0,861; 0,769
 14 º; Araraquara (SP); 0,815; 0,788; 0,877; 0,782
 16 º; Santana de Parnaíba (SP); 0,814; 0,876; 0,849; 0,725
 18 º; Ilha Solteira (SP); 0,812; 0,786; 0,871; 0,782
 19 º; Americana (SP); 0,811; 0,800; 0,876; 0,760
 24 º; São José dos Campos (SP); 0,807; 0,804; 0,855; 0,764
 25 º; Presidente Prudente (SP); 0,806; 0,788; 0,858; 0,774
 28 º; São Paulo (SP); 0,805; 0,843; 0,855; 0,725
 28 º; Assis (SP); 0,805; 0,771; 0,865; 0,781
 28 º; Campinas (SP); 0,805; 0,829; 0,860; 0,731
 28 º; São Bernardo do Campo (SP); 0,805; 0,807; 0,861; 0,752
 28 º; São Carlos (SP); 0,805; 0,788; 0,863; 0,766
 34 º; Rio Claro (SP); 0,803; 0,784; 0,862; 0,766
 37 º; Bauru (SP); 0,801; 0,800; 0,854; 0,752
 37 º; Pirassununga (SP); 0,801; 0,789; 0,884; 0,736
 40 º; Taubaté (SP); 0,800; 0,778; 0,883; 0,746
 40 º; Ribeirão Preto (SP); 0,800; 0,820; 0,844; 0,739
 40 º; Botucatu (SP); 0,800; 0,790; 0,869; 0,746
 47 º; Marília (SP); 0,798; 0,768; 0,854; 0,776
 47 º; Sorocaba (SP); 0,798; 0,792; 0,843; 0,762
 47 º; Guaratinguetá (SP); 0,798; 0,764; 0,886; 0,751
 50 º; São João da Boa Vista (SP); 0,797; 0,776; 0,871; 0,749
 50 º; São José do Rio Preto (SP); 0,797; 0,801; 0,846; 0,748
 50 º; Fernandópolis (SP); 0,797; 0,767; 0,872; 0,758
 56 º; Paulínia (SP); 0,795; 0,800; 0,864; 0,727
 61 º; Holambra (SP); 0,793; 0,815; 0,878; 0,698
 62 º; Nova Odessa (SP); 0,791; 0,755; 0,861; 0,762
 62 º; Saltinho (SP); 0,791; 0,771; 0,857; 0,750
 67 º; Votuporanga (SP); 0,790; 0,772; 0,857; 0,744
 67 º; Santa Cruz da Conceição (SP); 0,790; 0,830; 0,876; 0,679
 67 º; Adamantina (SP); 0,790; 0,772; 0,852; 0,750
 71 º; Cândido Rodrigues (SP); 0,789; 0,747; 0,863; 0,762
 71 º; Barretos (SP); 0,789; 0,762; 0,875; 0,738
 76 º; Araçatuba (SP); 0,788; 0,782; 0,841; 0,744
 76 º; Cruzeiro (SP); 0,788; 0,742; 0,871; 0,758
 76 º; Mairiporã (SP); 0,788; 0,767; 0,881; 0,723
 76 º; Barra Bonita (SP); 0,788; 0,762; 0,869; 0,739
 76 º; Indaiatuba (SP); 0,788; 0,791; 0,837; 0,738
 76 º; Caçapava (SP); 0,788; 0,754; 0,858; 0,755
 85 º; Espírito Santo do Pinhal (SP); 0,787; 0,784; 0,872; 0,712
 87 º; Pompéia (SP); 0,786; 0,750; 0,864; 0,748
 87 º; Lins (SP); 0,786; 0,762; 0,869; 0,733
 87 º; Barueri (SP); 0,786; 0,791; 0,866; 0,708
 92 º; Piracicaba (SP); 0,785; 0,797; 0,848; 0,717
 92 º; Amparo (SP); 0,785; 0,780; 0,871; 0,711
 92 º; Catanduva (SP); 0,785; 0,767; 0,853; 0,740
 92 º; Tremembé (SP); 0,785; 0,769; 0,873; 0,720
 92 º; Monte Aprazível (SP); 0,785; 0,781; 0,861; 0,720
 100 º; Santa Fé do Sul (SP); 0,784; 0,763; 0,840; 0,751
 100 º; Ribeirão Pires (SP); 0,784; 0,749; 0,847; 0,760
 100 º; Jaguariúna (SP); 0,784; 0,782; 0,862; 0,715
 100 º; Arujá (SP); 0,784; 0,761; 0,866; 0,730
 100 º; Mogi Mirim (SP); 0,784; 0,767; 0,879; 0,715
 110 º; Mogi das Cruzes (SP); 0,783; 0,762; 0,851; 0,740
 113 º; Cerquilho (SP); 0,782; 0,758; 0,854; 0,739
 119 º; Caieiras (SP); 0,781; 0,740; 0,861; 0,749
