uf;municipio;taxa;homicidios;população
CE;Maracanaú;145.7;308;224.804
PA;Altamira;133.7;149;111.435
RN;São Gonçalo do Amarante;131.2;126;101.492
BA;Simões Filho;119.9;156;136.050
RJ;Queimados;115.6;148;145.386
RS;Alvorada;112.6;233;208.177
BA;Porto Seguro;101.6;147;149.324
PA;Marituba;100.1;128;127.858
BA;Lauro de Freitas;99;187;197.636
BA;Camaçari;98.1;285;296.893
CE;Caucaia;96.6;327;362.223
SE;Nossa Senhora do Socorro;96.3;172;181.928
PE;Cabo de Santo Agostinho;94;184;204.653
PA;Marabá;89;239;271.594
PA;Ananindeua;88.1;451;516.057
CE;Fortaleza;87.9;2.145;2.627.482
RN;Mossoró;86.4;252;295.619
PE;Vitória de Santo Antão;85.5;113;137.578
AC;Rio Branco;85.3;324;383.443
BA;Eunápolis;82.8;86;115.290
PA;Castanhal;78.8;151;195.253
BA;Ilhéus;78.6;126;176.341
PA;Tucuruí;77.5;80;110.516
PA;Belém;74.3;1.072;1.452.275
CE;Maranguape;74.2;89;126.486
PB;Santa Rita;73.9;100;136.851
PE;Igarassu;73.9;80;115.398
RN;Natal;73.4;575;885.180
PE;Caruaru;73.3;248;356.128
BA;Jequié;72.8;111;162.209
BA;Feira de Santana;71.4;224;627.477
BA;Teixeira de Freitas;69.8;94;161.690
PE;Santa Cruz do Capibaribe;69.7;73;105.761
BA;Santo Antônio de Jesus;69.3;70;103.342
PE;Camaragibe;69;101;156.361
RJ;Nilópolis;69;90;158.329
PE;São Lourenço da Mata;68.5;73;112.099
RJ;Itaguaí;68.4;72;122.369
PA;Parauapebas;66.8;119;202.356
RJ;Magé;66.5;142;237.420
GO;Luziânia;66.2;129;199.615
ES;Serra;65.2;320;502.618
RJ;Japeri;65;60;101.237
PR;Piraquara;64.5;67;107.751
PA;Paragominas;64.1;67;110.026
BA;Salvador;63.5;1.763;2.953.986
PA;Tailândia;63.3;64;103.321
RJ;Duque de Caxias;62.9;515;890.997
PA;Abaetetuba;62.4;95;153.380
TO;Araguaína;62.4;107;175.960
PE;Paulista;62.3;184;328.353
BA;Itabuna;61.9;133;221.046
RN;Parnamirim;61.2;152;254.709
BA;Vitória da Conquista;61.1;203;348.718
PE;Jaboatão dos Guararapes;61.1;376;695.956
RJ;Nova Iguaçu;60.9;380;798.647
BA;Juazeiro;60.6;129;221.773
GO;Aparecida de Goiânia;60.4;326;542.090
AL;Maceió;60.2;617;1.029.129
RS;Gravataí;60;164;275.146
ES;Cariacica;59.8;211;387.368
RJ;Itaboraí;59.7;128;232.394
RJ;Araruama;59.6;68;126.742
BA;Alagoinhas;59.4;88;155.979
RJ;Angra dos Reis;59.4;103;194.619
AL;Arapiraca;58.9;138;234.185
CE;Sobral;58.4;120;205.529
PE;Recife;58.4;830;1.633.697
PE;Olinda;58;197;390.771
GO;Trindade;57.7;70;121.266
SE;Aracaju;57.4;366;650.106
RJ;Belford Roxo;56.8;233;495.783
AM;Manaus;55.9;1.187;2.130.264
RJ;São João de Meriti;55.1;218;460.461
ES;São Mateus;54.9;67;128.449
CE;Juazeiro do Norte;54.7;148;270.383
AP;Macapá;54.1;257;474.706
GO;Formosa;54.1;62;115.789
AP;Santana;53.8;62;115.471
RJ;Mesquita;53.8;73;171.280
GO;Anápolis;53.6;190;375.142
PA;Barcarena;53.4;64;121.190
MG;Betim;52.1;188;427.146
RS;Viamão;51.6;129;253.717
MA;Açailândia;50.9;56;111.339
BA;Barreiras;50.6;61;157.638
RJ;Macaé;50.5;119;244.139
PE;Garanhuns;50;67;138.642
ES;Linhares;49.5;83;169.048
RJ;Rio das Ostras;49.4;68;141.117
RR;Boa Vista;48.9;149;332.020
CE;Iguatu;48.7;36;102.614
MA;Imperatriz;48.6;123;254.569
GO;Senador Canedo;48.4;51;105.459
MA;São José de Ribamar;48.2;85;176.418
MT;Sinop;47.9;63;135.874
RS;Canoas;47.9;159;343.853
RJ;São Gonçalo;47.8;444;1.049.826
RJ;Cabo Frio;47.7;98;216.030
MA;Timon;47.5;77;167.619
RS;Porto Alegre;47;692;1.484.941
MA;São Luís;46.9;506;1.091.868
MA;Paço do Lumiar;46.3;56;122.420
CE;Crato;45.9;60;130.604
SE;Lagarto;45.8;44;104.099
RO;Ariquemes;45;47;107.345
BA;Paulo Afonso;44.5;49;120.706
GO;Águas Lindas de Goiás;43.8;82;195.810
MG;Governador Valadares;42.8;110;280.901
RS;Cachoeirinha;42.8;54;127.318
GO;Valparaíso de Goiás;42.5;66;159.500
RJ;Maricá;42.1;56;153.008
PR;São José dos Pinhais;41.8;119;307.530
PR;Almirante Tamandaré;41.6;43;115.364
PB;Campina Grande;41.4;170;410.332
PR;Colombo;41.1;89;237.402
GO;Itumbiara;40.8;40;102.513
RS;Sapucaia do Sul;40.8;56;139.476
GO;Goiânia;40.7;585;1.466.105
PE;Petrolina;40.6;128;343.219
ES;Vila Velha;40.4;182;486.388
MG;Ribeirão das Neves;40.3;112;328.871
GO;Catalão;39.7;40;102.393
RS;São Leopoldo;39.6;91;230.914
PI;Teresina;39.4;319;850.198
RJ;Campos dos Goytacazes;39.1;186;490.288
PR;Pinhais;39;47;129.445
PB;João Pessoa;38.9;313;811.598
RJ;Resende;38.6;49;126.923
ES;Guarapari;38.5;41;123.166
PR;Paranaguá;37.9;54;152.975
GO;Rio Verde;37.6;81;217.048
