Abadia de Goiás|GO|7164|3||
Abadia dos Dourados|MG|6743|0||
Abadiânia|GO|16408|1|6.1|2390
Abaetetuba|PA|144415|53|36.7|523
Abaeté|MG|22740|3|13.2|1704
Abaiara|CE|10815|1|9.2|2034
Abaré|BA|17685|10|56.5|195
Abatiá|PR|7690|0||
Abaíra|BA|8659|0||
Abdon Batista|SC|2635|0||
Abel Figueiredo|PA|6905|0||
Abelardo Luz|SC|17200|4|23.3|1004
Abre Campo|MG|13306|2|15.0|1581
Abreu e Lima|PE|95243|32|33.6|614
Abreulândia|TO|2422|0||
Acaiaca|MG|3925|1||
Acajutiba|BA|14730|3|20.4|1142
Acarape|CE|15673|7|44.7|360
Acaraú|CE|58848|1|1.7|2619
Acari|RN|11012|1|9.1|2062
Acará|PA|53787|13|24.2|962
Acauã|PI|6840|0||
Aceguá|RS|4465|0||
Acopiara|CE|51768|20|38.6|482
Acorizal|MT|5471|0||
Acrelândia|AC|13011|2|15.4|1558
Acreúna|GO|20578|1|4.9|2503
Adamantina|SP|33843|0|0.0|2620
Adelândia|GO|2480|0||
Adolfo|SP|3538|0||
Adrianópolis|PR|6281|1||
Adustina|BA|15914|1|6.3|2373
Afogados da Ingazeira|PE|35416|6|16.9|1409
Afonso Bezerra|RN|10841|1|9.2|2040
Afonso Cláudio|ES|30919|5|16.2|1486
Afonso Cunha|MA|6090|0||
Afrânio|PE|17975|1|5.6|2450
Afuá|PA|35879|3|8.4|2150
Agrestina|PE|23079|9|39.0|474
Agricolândia|PI|5062|0||
Agrolândia|SC|9552|0||
Agronômica|SC|4985|0||
Aguanil|MG|4129|0||
Aguaí|SP|32745|6|18.3|1307
Agudo|RS|16612|3|18.1|1325
Agudos|SP|34833|4|11.5|1828
Agudos do Sul|PR|8429|2||
Aguiar|PB|5514|1||
Aguiarnópolis|TO|5467|0||
Aimorés|MG|24937|10|40.1|452
Aiquara|BA|4536|0||
Aiuaba|CE|16468|3|18.2|1312
Aiuruoca|MG|6116|0||
Ajuricaba|RS|7187|0||
Alagoa|MG|2696|0||
Alagoa Grande|PB|28375|5|17.6|1359
Alagoa Nova|PB|19849|3|15.1|1575
Alagoinha|PB|13740|0|0.0|2620
Alagoinha|PE|13741|4|29.1|733
Alagoinha do Piauí|PI|7413|1||
Alagoinhas|BA|143460|107|74.6|65
Alambari|SP|5071|0||
Albertina|MG|2924|0||
Alcantil|PB|5282|1||
Alcinópolis|MS|4704|1||
Alcobaça|BA|21328|11|51.6|256
Alcântara|MA|21605|0|0.0|2620
Alcântaras|CE|10956|0|0.0|2620
Aldeias Altas|MA|24726|4|16.2|1485
Alecrim|RS|6828|0||
Alegre|ES|30626|2|6.5|2342
Alegrete|RS|76644|11|14.4|1636
Alegrete do Piauí|PI|5173|2||
Alegria|RS|4141|0||
Alenquer|PA|53369|7|13.1|1715
Alexandria|RN|13467|1|7.4|2246
Alexânia|GO|24383|11|45.1|351
Alfenas|MG|74804|10|13.4|1691
Alfredo Chaves|ES|14007|2|14.3|1642
Alfredo Marcondes|SP|3921|0||
Alfredo Vasconcelos|MG|6223|0||
Alfredo Wagner|SC|9494|3||
Algodão de Jandaíra|PB|2390|0||
Alhandra|PB|18324|7|38.2|493
Aliança|PE|37450|15|40.1|454
Aliança do Tocantins|TO|5595|1||
Almadina|BA|6130|1||
Almas|TO|7452|2||
Almeirim|PA|33563|7|20.9|1119
Almenara|MG|39287|6|15.3|1568
Almino Afonso|RN|4823|3||
Almirante Tamandaré|PR|105458|68|64.5|118
Almirante Tamandaré do Sul|RS|2041|0||
Aloândia|GO|2040|0||
Alpercata|MG|7204|2||
Alpestre|RS|7689|5||
Alpinópolis|MG|18709|0|0.0|2620
Alta Floresta|MT|49494|17|34.3|590
Alta Floresta D'Oeste|RO|24069|7|29.1|734
Altair|SP|3859|0||
Altamira|PA|102343|87|85.0|44
Altamira do Maranhão|MA|11381|0|0.0|2620
Altamira do Paraná|PR|3900|0||
Altaneira|CE|7033|2||
Alterosa|MG|13829|0|0.0|2620
Altinho|PE|22371|4|17.9|1342
Altinópolis|SP|15627|0|0.0|2620
Alto Alegre|RR|16228|15|92.4|31
Alto Alegre|RS|1805|0||
Alto Alegre|SP|4078|0||
Alto Alegre do Maranhão|MA|25326|6|23.7|982
Alto Alegre do Pindaré|MA|31190|9|28.9|747
Alto Alegre dos Parecis|RO|12833|3|23.4|997
Alto Araguaia|MT|16284|4|24.6|944
Alto Bela Vista|SC|1991|0||
Alto Boa Vista|MT|5553|0||
Alto Caparaó|MG|5392|0||
Alto Feliz|RS|2930|0||
Alto Garças|MT|10655|3|28.2|788
Alto Horizonte|GO|4799|1||
Alto Jequitibá|MG|8297|0||
Alto Longá|PI|13820|0|0.0|2620
Alto Paraguai|MT|10290|2|19.4|1199
Alto Paraná|PR|13806|5|36.2|534
Alto Paraíso|PR|3119|1||
Alto Paraíso|RO|17742|4|22.5|1044
Alto Paraíso de Goiás|GO|6992|0||
Alto Parnaíba|MA|10856|0|0.0|2620
Alto Piquiri|PR|10092|1|9.9|1936
Alto Rio Doce|MG|11903|1|8.4|2144
Alto Rio Novo|ES|7371|0||
