Tarauacá;AC;36.763;13;35,4;562
Rio Branco;AC;348.354;115;33,0;626
Cruzeiro do Sul;AC;79.819;26;32,6;638
Epitaciolândia;AC;15.679;5;31,9;656
Sena Madureira;AC;39.366;12;30,5;695
Plácido de Castro;AC;17.587;4;22,7;1031
Brasiléia;AC;22.261;5;22,5;1047
Feijó;AC;32.560;7;21,5;1087
Acrelândia;AC;13.011;2;15,4;1558
Senador Guiomard;AC;20.588;3;14,6;1617
Porto Acre;AC;15.534;2;12,9;1724
Rodrigues Alves;AC;15.260;1;6,6;2341
Mâncio Lima;AC;15.890;1;6,3;2371
Xapuri;AC;16.639;1;6,0;2395
Marechal Thaumaturgo;AC;15.123;0;0,0;2620
Assis Brasil;AC;6.308;0;;
Bujari;AC;8.782;1;;
Capixaba;AC;9.368;3;;
Jordão;AC;6.898;3;;
Manoel Urbano;AC;8.224;2;;
Porto Walter;AC;9.711;2;;
Santa Rosa do Purus;AC;5.061;1;;
Pilar;AL;33.623;43;127,9;4
Satuba;AL;15.020;18;119,8;7
Rio Largo;AL;68.952;74;107,3;13
Arapiraca;AL;218.140;215;98,6;21
Marechal Deodoro;AL;47.504;46;96,8;23
Murici;AL;27.030;25;92,5;30
Coruripe;AL;53.224;48;90,2;34
Maceió;AL;953.393;858;90,0;35
Branquinha;AL;10.471;9;86,0;43
Joaquim Gomes;AL;22.853;19;83,1;47
São Miguel dos Campos;AL;56.319;45;79,9;52
Santana do Ipanema;AL;45.453;33;72,6;72
Viçosa;AL;25.384;18;70,9;81
Palmeira dos Índios;AL;70.738;48;67,9;97
Maribondo;AL;13.389;9;67,2;101
Atalaia;AL;44.892;30;66,8;103
Lagoa da Canoa;AL;17.988;12;66,7;104
Ibateguara;AL;15.180;10;65,9;110
Dois Riachos;AL;10.838;7;64,6;117
Major Isidoro;AL;19.087;12;62,9;126
São José da Laje;AL;22.906;14;61,1;151
Capela;AL;16.728;10;59,8;165
Paripueira;AL;11.845;7;59,1;172
Cajueiro;AL;20.626;12;58,2;178
União dos Palmares;AL;62.923;36;57,2;186
São Sebastião;AL;32.446;18;55,5;206
Teotônio Vilela;AL;41.797;22;52,6;240
Delmiro Gouveia;AL;48.876;25;51,1;262
Inhapi;AL;17.839;9;50,5;268
Porto Calvo;AL;25.974;13;50,1;275
Messias;AL;16.292;8;49,1;284
Barra de Santo Antônio;AL;14.665;7;47,7;304
Canapi;AL;17.238;8;46,4;330
Matriz de Camaragibe;AL;23.750;11;46,3;332
Boca da Mata;AL;26.010;12;46,1;336
Anadia;AL;17.360;8;46,1;338
São Luís do Quitunde;AL;32.846;15;45,7;342
Mata Grande;AL;24.449;11;45,0;354
Olho d'Água das Flores;AL;20.460;9;44,0;376
Penedo;AL;60.890;25;41,1;434
Olivença;AL;11.150;4;35,9;544
Piaçabuçu;AL;17.268;6;34,7;581
Colônia Leopoldina;AL;20.401;7;34,3;591
Piranhas;AL;23.504;8;34,0;595
Passo de Camaragibe;AL;14.802;5;33,8;608
São José da Tapera;AL;30.549;10;32,7;632
Traipu;AL;26.369;8;30,3;698
Estrela de Alagoas;AL;17.410;5;28,7;760
Feira Grande;AL;21.342;6;28,1;790
Santana do Mundaú;AL;10.792;3;27,8;797
Ouro Branco;AL;10.953;3;27,4;814
Taquarana;AL;18.907;5;26,4;857
Porto Real do Colégio;AL;19.288;5;25,9;885
Campo Alegre;AL;52.327;13;24,8;932
Flexeiras;AL;12.378;3;24,2;959
Maragogi;AL;29.794;7;23,5;991
Senador Rui Palmeira;AL;13.209;3;22,7;1033
Craíbas;AL;22.921;5;21,8;1069
Água Branca;AL;19.763;4;20,2;1148
Cacimbinhas;AL;10.307;2;19,4;1203
Coité do Nóia;AL;10.765;2;18,6;1277
Batalha;AL;17.420;3;17,2;1397
Junqueiro;AL;24.173;4;16,5;1454
Novo Lino;AL;12.303;2;16,3;1476
Igaci;AL;25.129;4;15,9;1507
Limoeiro de Anadia;AL;27.069;4;14,8;1598
Poço das Trincheiras;AL;13.845;2;14,4;1629
Igreja Nova;AL;23.570;3;12,7;1743
Pão de Açúcar;AL;23.651;3;12,7;1745
Pariconha;AL;10.282;1;9,7;1957
Quebrangulo;AL;11.330;1;8,8;2092
Girau do Ponciano;AL;37.858;3;7,9;2191
Jequiá da Praia;AL;11.887;0;0,0;2620
Barra de São Miguel;AL;7.755;5;;
Belém;AL;4.635;1;;
Belo Monte;AL;6.499;0;;
Campestre;AL;6.655;1;;
Campo Grande;AL;9.273;2;;
Carneiros;AL;8.548;2;;
Chã Preta;AL;7.146;2;;
Coqueiro Seco;AL;5.586;0;;
Feliz Deserto;AL;4.482;2;;
