Abadia de Goiás|GO|7164|1938|1|**|**
Abadia dos Dourados|MG|6743|1514|0|**|**
Abadiânia|GO|16408|4350|1|**|**
Abaetetuba|PA|144415|45837|28|61.1|280
Abaeté|MG|22740|5348|0|**|**
Abaiara|CE|10815|2970|0|**|**
Abaré|BA|17685|5047|6|**|**
Abatiá|PR|7690|1861|0|**|**
Abaíra|BA|8659|2069|0|**|**
Abdon Batista|SC|2635|599|0|**|**
Abel Figueiredo|PA|6905|1989|0|**|**
Abelardo Luz|SC|17200|4367|1|**|**
Abre Campo|MG|13306|3234|0|**|**
Abreu e Lima|PE|95243|25107|20|79.7|200
Abreulândia|TO|2422|565|0|**|**
Acaiaca|MG|3925|940|0|**|**
Acajutiba|BA|14730|3854|1|**|**
Acarape|CE|15673|4495|4|**|**
Acaraú|CE|58848|17607|1|5.7|805
Acari|RN|11012|2881|0|**|**
Acará|PA|53787|15783|5|31.7|494
Acauã|PI|6840|1857|0|**|**
Aceguá|RS|4465|1004|0|**|**
Acopiara|CE|51768|13168|8|60.8|281
Acorizal|MT|5471|1378|0|**|**
Acrelândia|AC|13011|3492|1|**|**
Acreúna|GO|20578|5376|1|**|**
Adamantina|SP|33843|7936|0|**|**
Adelândia|GO|2480|616|0|**|**
Adolfo|SP|3538|812|0|**|**
Adrianópolis|PR|6281|1453|1|**|**
Adustina|BA|15914|4487|1|**|**
Afogados da Ingazeira|PE|35416|9394|3|**|**
Afonso Bezerra|RN|10841|2979|1|**|**
Afonso Cláudio|ES|30919|7738|0|**|**
Afonso Cunha|MA|6090|1733|0|**|**
Afrânio|PE|17975|4859|1|**|**
Afuá|PA|35879|10464|2|19.1|628
Agrestina|PE|23079|6217|5|**|**
Agricolândia|PI|5062|1275|0|**|**
Agrolândia|SC|9552|2541|0|**|**
Agronômica|SC|4985|1252|0|**|**
Aguanil|MG|4129|926|0|**|**
Aguaí|SP|32745|8886|2|**|**
Agudo|RS|16612|3879|1|**|**
Agudos|SP|34833|9240|3|**|**
Agudos do Sul|PR|8429|2078|1|**|**
Aguiar|PB|5514|1331|0|**|**
Aguiarnópolis|TO|5467|1652|0|**|**
Aimorés|MG|24937|5798|5|**|**
Aiquara|BA|4536|1247|0|**|**
Aiuaba|CE|16468|4413|1|**|**
Aiuruoca|MG|6116|1367|0|**|**
Ajuricaba|RS|7187|1513|0|**|**
Alagoa|MG|2696|577|0|**|**
Alagoa Grande|PB|28375|7447|4|**|**
Alagoa Nova|PB|19849|5430|2|**|**
Alagoinha|PB|13740|3808|0|**|**
Alagoinha|PE|13741|3521|1|**|**
Alagoinha do Piauí|PI|7413|1976|0|**|**
Alagoinhas|BA|143460|40583|59|145.4|42
Alambari|SP|5071|1341|0|**|**
Albertina|MG|2924|714|0|**|**
Alcantil|PB|5282|1365|0|**|**
Alcinópolis|MS|4704|1291|0|**|**
Alcobaça|BA|21328|5898|6|**|**
Alcântara|MA|21605|6145|0|**|**
Alcântaras|CE|10956|3160|0|**|**
