PROPOSICAO,VOTACAO,PARLAMENTAR_ID,PARLAMENTAR_NOME,PARTIDO,UF,REGIAO,VOTO
PLC 00007/2010,606,179,Acir Gurgacz,PDT,RO,Norte,NAO
PLC 00007/2010,606,168,Jefferson Praia,PDT,AM,Norte,SIM
PLC 00007/2010,606,343,Jorge Yanai,DEM,MT,CentroOeste,SIM
PLC 00007/2010,606,166,Valter Pereira,PMDB,MS,CentroOeste,SIM
PLC 00007/2010,606,165,Jarbas Vasconcelos,PMDB,PE,Nordeste,SIM
PLC 00007/2010,606,164,Rosalba Ciarlini,DEM,RN,Norte,SIM
PLC 00007/2010,606,163,João Vicente Claudino,PTB,PI,Nordeste,ABSTENCAO
PLC 00007/2010,606,162,Mário Couto,PSDB,PA,Norte,SIM
PLC 00007/2010,606,161,João Durval,PDT,BA,Nordeste,AUSENTE
PLC 00007/2010,606,160,Marconi Perillo,PSDB,GO,CentroOeste,SIM
PLC 00007/2010,606,159,Jayme Campos,DEM,MT,CentroOeste,SIM
PLC 00007/2010,606,158,Cícero Lucena,PSDB,PB,Nordeste,SIM
PLC 00007/2010,606,210,Alfredo Nascimento,PR,AM,Norte,SIM
PLC 00007/2010,606,157,Fernando Collor,PTB,AL,Nordeste,NAO
PLC 00007/2010,606,156,Roberto Cavalcanti,PRB,PB,Nordeste,NAO
PLC 00007/2010,606,155,Flexa Ribeiro,PSDB,PA,Norte,SIM
PLC 00007/2010,606,153,Sergio Guerra,PSDB,PE,Nordeste,SIM
PLC 00007/2010,606,152,Papaléo Paes,PSDB,AP,Norte,SIM
PLC 00007/2010,606,151,Mozarildo Cavalcanti,PTB,RR,Norte,AUSENTE
PLC 00007/2010,606,178,Mão Santa,PSC,PI,Nordeste,SIM
PLC 00007/2010,606,149,Garibaldi Alves Filho,PMDB,RN,Norte,AUSENTE
PLC 00007/2010,606,148,Fátima Cleide,PT,RO,Norte,NAO
PLC 00007/2010,606,147,Cristovam Buarque,PDT,DF,CentroOeste,SIM
PLC 00007/2010,606,146,Augusto Botelho,PT,RR,Norte,NAO
PLC 00007/2010,606,145,Renato Casagrande,PSB,ES,Sudeste,NAO
PLC 00007/2010,606,143,Paulo Duque,PMDB,RJ,Sudeste,NAO
PLC 00007/2010,606,142,José Nery,PSOL,PA,Norte,SIM
PLC 00007/2010,606,141,Adelmir Santana,DEM,DF,CentroOeste,SIM
PLC 00007/2010,606,140,Neuto De Conto,PMDB,SC,Norte,SIM
PLC 00007/2010,606,138,Arthur Virgílio,PSDB,AM,Norte,SIM
PLC 00007/2010,606,137,Sérgio Zambiasi,PTB,RS,Sul,SIM
PLC 00007/2010,606,136,Serys Slhessarenko,PT,MT,CentroOeste,NAO
PLC 00007/2010,606,135,Delcídio do Amaral,PT,MS,CentroOeste,NAO
PLC 00007/2010,606,134,César Borges,PR,BA,Nordeste,SIM
PLC 00007/2010,606,133,Marcelo Crivella,PRB,RJ,Sudeste,NAO
PLC 00007/2010,606,132,Eduardo Azeredo,PSDB,MG,Sudeste,SIM
PLC 00007/2010,606,131,Geraldo Mesquita Júnior,PMDB,AC,Norte,SIM
PLC 00007/2010,606,130,Valdir Raupp,PMDB,RO,Norte,NAO
PLC 00007/2010,606,129,Demóstenes Torres,DEM,GO,CentroOeste,SIM
PLC 00007/2010,606,128,Patrícia Saboya,PDT,CE,Nordeste,SIM
PLC 00007/2010,606,127,Tasso Jereissati,PSDB,CE,Nordeste,SIM
PLC 00007/2010,606,126,João Ribeiro,PR,TO,Norte,SIM
PLC 00007/2010,606,125,João Tenório,PSDB,AL,Nordeste,AUSENTE
PLC 00007/2010,606,123,Ideli Salvatti,PT,SC,Norte,NAO
PLC 00007/2010,606,122,Almeida Lima,PMDB,SE,Nordeste,NAO
PLC 00007/2010,606,121,Gim,PTB,DF,CentroOeste,NAO
PLC 00007/2010,606,120,Kátia Abreu,DEM,TO,Norte,SIM
PLC 00007/2010,606,119,Raimundo Colombo,DEM,SC,Norte,AUSENTE
PLC 00007/2010,606,342,Hélio Costa,PMDB,MG,Sudeste,SIM
PLC 00007/2010,606,117,Magno Malta,PR,ES,Sudeste,NAO
PLC 00007/2010,606,116,Antonio Carlos Valadares,PSB,SE,Nordeste,NAO
PLC 00007/2010,606,115,Francisco Dornelles,PP,RJ,Sudeste,NAO
PLC 00007/2010,606,114,Osmar Dias,PDT,PR,Sul,AUSENTE
PLC 00007/2010,606,113,Maria do Carmo Alves,DEM,SE,Nordeste,AUSENTE
PLC 00007/2010,606,112,Alvaro Dias,PSDB,PR,Sul,SIM
PLC 00007/2010,606,111,Tião Viana,PT,AC,Norte,NAO
PLC 00007/2010,606,177,Flávio Arns,PSDB,PR,Sul,SIM
PLC 00007/2010,606,169,Mauro Fecury,PMDB,MA,Norte,NAO
PLC 00007/2010,606,109,Gilvam Borges,PMDB,AP,Norte,NAO
PLC 00007/2010,606,108,Lúcia Vânia,PSDB,GO,CentroOeste,SIM
