Votação: REQUERIMENTO DE RETIRADA DE PAUTA

UF 	Sim 	Não 	Abstenção 	Obstrução
BA 	0 	12 	0 		9
DF 	0 	3 	1 		2
PR 	0 	13 	1 		3
RR 	0 	4 	0 		1
RS 	2 	15 	0 		2
PB 	0 	3 	1 		1
TO 	0 	4 	1 		1
PA 	0 	5 	0 		2
PE 	0 	4 	0 		10
RN 	0 	2 	0 		1
PI 	0 	2 	0 		1
RJ 	0 	9 	1 		11
AC 	0 	3 	1 		0
AM 	0 	2 	0 		2
AL 	0 	2 	0 		2
CE 	0 	4 	0 		7
AP 	0 	2 	0 		2
GO 	0 	6 	0 		0
ES 	0 	4 	0 		4
MG 	1 	21 	1 		4
RO 	0 	4 	0 		2
MA 	0 	5 	0 		3
SP 	2 	26 	0 		15
MT 	0 	5 	0 		0
MS 	0 	6 	0 		0
SC 	0 	10 	0 		3
SE 	0 	1 	0 		2

***********

Votação: EMENDA SUBSTITUTIVA GLOBAL DE PLENÁRIO Nº 186

UF 	Sim 	Não 	Abstenção 	Obstrução
BA 	35 	4 	0 		0
DF 	6 	2 	0 		0
PR 	27 	2 	0 		0
RR 	6 	0 	0 		0
RS 	22 	5 	0 		0
PB 	11 	0 	0 		0
TO 	7 	0 	0 		0
PA 	15 	2 	0 		0
PE 	19 	3 	0 		0
RN 	6 	2 	0 		0
PI 	7 	2 	0 		0
RJ 	34 	11 	0 		0
AC 	6 	1 	0 		0
AM 	7 	1 	0 		0
AL 	8 	0 	0 		0
CE 	18 	2 	0 		0
AP 	5 	1 	0 		1
GO 	15 	1 	0 		0
ES 	9 	1 	0 		0
MG 	41 	4 	1 		0
RO 	6 	2 	0 		0
MA 	12 	2 	0 		0
SP 	54 	11 	0 		0
MT 	8 	0 	0 		0
MS 	5 	1 	0 		0
SC 	15 	1 	0 		0
SE 	6 	2 	0 		0

***********

Votação: DVS - PMDB - EMENDA Nº 164

UF 	Sim 	Não 	Abstenção 	Obstrução
BA 	17 	18 	1 		0
DF 	2 	6 	0 		0
PR 	21 	7 	0 		0
RR 	6 	1 	0 		0
RS 	18 	8 	0 		0
PB 	7 	3 	0 		0
TO 	7 	0 	0 		0
PA 	9 	6 	0 		0
PE 	9 	12 	0 		0
RN 	6 	2 	0 		0
PI 	5 	5 	0 		0
RJ 	22 	22 	0 		0
AC 	6 	1 	0 		0
AM 	5 	3 	0 		0
AL 	5 	3 	0 		0
CE 	8 	8 	0 		0
AP 	4 	2 	0 		1
GO 	11 	5 	0 		0
ES 	4 	5 	0 		0
MG 	29 	16 	1 		0
RO 	6 	2 	0 		0
MA 	8 	5 	0 		0
SP 	30 	32 	0 		0
MT 	6 	2 	0 		0
MS 	5 	2 	0 		0
SC 	12 	3 	0 		0
SE 	5 	3 	0 		0

***********

Votação: DVS - PT - § 7º DO ART. 62, P/ FINS DE SUA MANUTENÇÃO

UF 	Sim 	Não 	Abstenção 	Obstrução
BA 	15 	15 	0 		0
DF 	4 	4 	0 		0
PR 	8 	17 	0 		0
RR 	1 	7 	0 		0
RS 	10 	12 	0 		0
PB 	2 	7 	0 		0
TO 	1 	6 	0 		0
PA 	7 	10 	0 		0
PE 	11 	9 	0 		0
RN 	3 	4 	0 		0
PI 	4 	4 	0 		0
RJ 	25 	14 	1 		0
AC 	4 	2 	0 		0
AM 	2 	4 	0 		0
AL 	3 	4 	0 		0
CE 	9 	6 	0 		0
AP 	3 	3 	0 		0
GO 	1 	12 	0 		0
ES 	5 	5 	0 		0
MG 	13 	23 	1 		0
RO 	1 	6 	0 		0
MA 	6 	11 	0 		0
SP 	36 	20 	1 		0
MT 	0 	6 	0 		0
MS 	1 	6 	0 		0
SC 	6 	9 	0 		0
SE 	3 	2 	0 		0

***********

Votação: SUBSTITUTIVO DO SF - DISPOSITIVOS COM PARECER PELA REJEIÇÃO

UF 	Sim 	Não 	Abstenção 	Obstrução
BA 	15 	20 	0 		0
DF 	4 	3 	0 		0
PR 	7 	19 	0 		0
RR 	1 	6 	0 		0
RS 	12 	17 	0 		0
PB 	3 	8 	0 		0
TO 	0 	7 	0 		0
PA 	7 	10 	0 		0
PE 	9 	12 	0 		0
RN 	2 	5 	0 		0
PI 	4 	5 	0 		0
RJ 	25 	15 	2 		0
AC 	3 	4 	0 		0
AM 	3 	3 	0 		0
AL 	4 	4 	0 		0
CE 	5 	14 	0 		0
AP 	3 	5 	0 		0
GO 	2 	13 	0 		0
ES 	4 	6 	0 		0
MG 	15 	27 	0 		0
RO 	1 	7 	0 		0
MA 	5 	10 	0 		0
SP 	41 	26 	0 		0
MT 	0 	8 	0 		0
MS 	2 	6 	0 		0
SC 	3 	13 	0 		0
SE 	4 	1 	0 		0

***********

